Date,Time,Temperature,Humidity,co,ch4,pm2.5
10/26/2021,11:24:18 PM,30.3,84,5632,8048,292.09
10/26/2021,11:24:13 PM,30.3,84,5616,8032,318.65
10/26/2021,11:24:07 PM,30.3,84,5648,8080,292.09
10/26/2021,11:24:02 PM,30.3,84,5680,8128,358.49
10/26/2021,11:23:57 PM,30.3,84,5728,8144,292.09
10/26/2021,11:23:52 PM,30.4,84,5808,8272,597.56
10/26/2021,11:23:47 PM,30.4,84,5728,8160,292.09
10/26/2021,11:23:42 PM,30.4,84,5648,8080,292.09
10/26/2021,11:23:36 PM,30.3,84,5696,8144,305.37
10/26/2021,11:23:31 PM,30.3,84,5744,8176,305.37
10/26/2021,11:23:26 PM,30.3,84,5744,8160,292.09
10/26/2021,11:23:20 PM,30.3,84,5808,8192,478.02
10/26/2021,11:23:15 PM,30.3,84,5728,8176,292.09
10/26/2021,11:23:10 PM,30.4,84,5792,8240,451.46
10/26/2021,11:23:05 PM,30.4,84,5808,8224,570.99
10/26/2021,11:22:59 PM,30.4,84,5728,8176,292.09
10/26/2021,11:22:54 PM,30.4,84,5728,8160,278.81
10/26/2021,11:22:49 PM,30.4,84,5664,8112,292.09
10/26/2021,11:22:43 PM,30.4,84,5664,8112,292.09
10/26/2021,11:22:39 PM,30.3,84,5696,8144,292.09
10/26/2021,11:22:34 PM,30.4,84,5744,8192,650.68
10/26/2021,11:22:29 PM,30.3,84,5776,8256,517.87
10/26/2021,11:22:23 PM,30.3,84,5808,8304,398.34
10/26/2021,11:22:18 PM,30.4,84,5824,8304,478.02
10/26/2021,11:22:13 PM,30.3,84,5840,8272,305.37
10/26/2021,11:22:08 PM,30.4,84,5872,8320,531.15
10/26/2021,11:22:03 PM,30.4,84,5888,8304,438.18
10/26/2021,11:21:57 PM,30.4,84,5760,8176,292.09
10/26/2021,11:21:52 PM,30.4,84,5712,8128,331.93
10/26/2021,11:21:47 PM,30.4,83,5776,8160,292.09
10/26/2021,11:21:41 PM,30.4,83,5776,8176,292.09
10/26/2021,11:21:36 PM,30.4,83,5856,8240,517.87
10/26/2021,11:21:31 PM,30.4,84,5760,8192,557.71
10/26/2021,11:21:25 PM,30.4,84,5840,8288,491.31
10/26/2021,11:21:20 PM,30.4,83,5904,8320,610.84
10/26/2021,11:21:15 PM,30.4,84,5968,8336,345.21
10/26/2021,11:21:09 PM,30.4,84,5936,8304,371.77
10/26/2021,11:21:04 PM,30.4,83,5888,8224,358.49
10/26/2021,11:20:59 PM,30.4,83,5840,8208,478.02
10/26/2021,11:20:54 PM,30.4,83,5808,8176,292.09
10/26/2021,11:20:48 PM,30.4,83,5792,8192,464.74
10/26/2021,11:20:43 PM,30.4,83,5856,8224,491.31
10/26/2021,11:20:38 PM,30.4,83,5840,8144,292.09
10/26/2021,11:20:33 PM,30.4,83,5888,8208,411.62
10/26/2021,11:20:28 PM,30.4,83,5872,8256,650.68
10/26/2021,11:20:22 PM,30.4,83,5776,8112,292.09
10/26/2021,11:20:17 PM,30.4,83,5824,8144,292.09
10/26/2021,11:20:12 PM,30.4,83,5968,8336,438.18
10/26/2021,11:20:07 PM,30.4,83,5920,8320,557.71
10/26/2021,11:20:02 PM,30.4,83,5952,8352,570.99
10/26/2021,11:19:56 PM,30.4,83,5856,8224,491.31
10/26/2021,11:19:51 PM,30.4,83,5840,8224,531.15
10/26/2021,11:19:46 PM,30.4,84,5904,8272,531.15
10/26/2021,11:19:39 PM,30.4,83,5952,8304,451.46
10/26/2021,11:19:32 PM,30.4,83,5968,8336,385.06
10/26/2021,11:19:26 PM,30.4,83,5904,8288,504.59
10/26/2021,11:19:20 PM,30.4,84,5968,8320,584.28
10/26/2021,11:19:15 PM,30.4,84,5920,8256,424.9
10/26/2021,11:19:10 PM,30.4,84,5904,8240,464.74
10/26/2021,11:19:04 PM,30.4,84,5952,8272,464.74
10/26/2021,11:18:59 PM,30.3,84,5936,8224,438.18
10/26/2021,11:18:54 PM,30.4,84,5968,8272,544.43
10/26/2021,11:18:48 PM,30.4,84,5952,8240,424.9
10/26/2021,11:18:43 PM,30.4,84,5936,8208,491.31
10/26/2021,11:18:38 PM,30.4,84,5920,8192,570.99
10/26/2021,11:18:33 PM,30.4,84,5904,8240,504.59
10/26/2021,11:18:27 PM,30.4,84,5888,8176,292.09
10/26/2021,11:18:22 PM,30.4,84,5904,8192,570.99
10/26/2021,11:18:16 PM,30.4,84,5888,8176,292.09
10/26/2021,11:18:11 PM,30.4,84,5984,8288,398.34
10/26/2021,11:18:05 PM,30.4,84,5968,8320,531.15
10/26/2021,11:18:00 PM,30.4,84,5888,8240,478.02
10/26/2021,11:17:55 PM,30.4,84,5840,8192,557.71
10/26/2021,11:17:49 PM,30.4,84,5872,8208,398.34
10/26/2021,11:17:44 PM,30.4,84,5952,8288,584.28
10/26/2021,11:17:39 PM,30.4,84,5952,8288,385.06
10/26/2021,11:17:34 PM,30.4,84,5984,8288,464.74
10/26/2021,11:17:29 PM,30.4,84,5984,8256,531.15
10/26/2021,11:17:23 PM,30.5,84,6016,8384,557.71
10/26/2021,11:17:18 PM,30.4,84,6112,8480,318.65
10/26/2021,11:17:13 PM,30.4,84,6112,8544,451.46
10/26/2021,11:17:08 PM,30.4,84,6208,8736,464.74
10/26/2021,11:17:02 PM,30.4,84,6208,8704,517.87
10/26/2021,11:16:57 PM,30.4,84,6208,8672,358.49
10/26/2021,11:16:52 PM,30.4,84,6128,8480,345.21
10/26/2021,11:16:47 PM,30.4,84,6064,8336,424.9
10/26/2021,11:16:42 PM,30.3,84,6144,8352,411.62
10/26/2021,11:16:36 PM,30.4,84,6080,8320,597.56
10/26/2021,11:16:31 PM,30.4,84,6112,8400,371.77
10/26/2021,11:16:26 PM,30.4,84,6128,8448,451.46
10/26/2021,11:16:21 PM,30.4,84,6176,8464,358.49
10/26/2021,11:16:16 PM,30.3,84,6192,8448,517.87
10/26/2021,11:16:11 PM,30.4,84,6144,8464,478.02
10/26/2021,11:16:06 PM,30.4,84,6112,8384,358.49
10/26/2021,11:16:00 PM,30.4,84,6080,8384,424.9
10/26/2021,11:15:55 PM,30.3,84,6144,8464,345.21
10/26/2021,11:15:50 PM,30.4,84,6160,8432,424.9
10/26/2021,11:15:45 PM,30.4,84,6160,8400,398.34
10/26/2021,11:15:40 PM,30.4,84,6224,8448,544.43
10/26/2021,11:15:34 PM,30.4,84,6176,8432,438.18
10/26/2021,11:15:29 PM,30.4,84,6288,8528,411.62
10/26/2021,11:15:23 PM,30.4,84,6304,8560,305.37
10/26/2021,11:15:18 PM,30.4,84,6304,8512,504.59
10/26/2021,11:15:13 PM,30.4,84,6272,8496,331.93
10/26/2021,11:15:08 PM,30.4,84,6192,8400,385.06
10/26/2021,11:15:03 PM,30.4,84,6192,8432,292.09
10/26/2021,11:14:58 PM,30.4,84,6192,8464,411.62
10/26/2021,11:14:52 PM,30.4,84,6224,8496,438.18
10/26/2021,11:14:47 PM,30.4,85,6288,8576,491.31
10/26/2021,11:14:42 PM,30.4,85,6304,8560,385.06
10/26/2021,11:14:37 PM,30.4,84,6304,8576,597.56
10/26/2021,11:14:32 PM,30.4,85,6336,8576,517.87
10/26/2021,11:14:26 PM,30.4,85,6352,8608,318.65
10/26/2021,11:14:21 PM,30.4,85,6384,8624,411.62
10/26/2021,11:14:16 PM,30.4,85,6368,8576,650.68
10/26/2021,11:14:11 PM,30.4,85,6384,8624,424.9
10/26/2021,11:14:06 PM,30.4,85,6368,8560,385.06
10/26/2021,11:14:00 PM,30.4,85,6384,8576,624.12
10/26/2021,11:13:55 PM,30.4,85,6368,8544,438.18
10/26/2021,11:13:50 PM,30.4,85,6336,8480,305.37
10/26/2021,11:13:45 PM,30.4,85,6384,8576,663.96
10/26/2021,11:13:40 PM,30.4,85,6416,8624,424.9
10/26/2021,11:13:34 PM,30.4,85,6384,8544,570.99
10/26/2021,11:13:29 PM,30.4,85,6448,8624,305.37
10/26/2021,11:13:24 PM,30.4,85,6384,8528,424.9
10/26/2021,11:13:19 PM,30.4,85,6464,8592,424.9
10/26/2021,11:13:14 PM,30.4,85,6464,8640,504.59
10/26/2021,11:13:09 PM,30.3,85,6448,8624,331.93
10/26/2021,11:13:04 PM,30.3,85,6496,8672,345.21
10/26/2021,11:12:59 PM,30.3,85,6496,8640,371.77
10/26/2021,11:12:53 PM,30.3,85,6528,8640,411.62
10/26/2021,11:12:48 PM,30.3,85,6528,8640,491.31
10/26/2021,11:12:43 PM,30.3,85,6576,8688,292.09
10/26/2021,11:12:38 PM,30.3,85,6576,8656,318.65
10/26/2021,11:12:33 PM,30.4,85,6608,8688,318.65
10/26/2021,11:12:27 PM,30.3,85,6560,8608,451.46
10/26/2021,11:12:22 PM,30.3,85,6576,8640,478.02
10/26/2021,11:12:16 PM,30.3,85,6544,8576,504.59
10/26/2021,11:12:11 PM,30.3,85,6576,8608,451.46
10/26/2021,11:12:06 PM,30.3,85,6560,8608,398.34
10/26/2021,11:12:00 PM,30.3,85,6608,8688,305.37
10/26/2021,11:11:55 PM,30.3,85,6672,8704,531.15
10/26/2021,11:11:49 PM,30.3,85,6656,8672,358.49
10/26/2021,11:11:43 PM,30.3,85,6704,8704,597.56
10/26/2021,11:11:38 PM,30.3,85,6640,8608,371.77
10/26/2021,11:11:32 PM,30.3,85,6704,8640,438.18
10/26/2021,11:11:27 PM,30.2,85,6640,8608,464.74
10/26/2021,11:11:22 PM,30.2,85,6688,8656,371.77
10/26/2021,11:11:16 PM,30.2,85,6752,8720,570.99
10/26/2021,11:11:11 PM,30.2,85,6736,8640,385.06
10/26/2021,11:11:06 PM,30.3,85,6752,8640,544.43
10/26/2021,11:10:59 PM,30.3,85,6768,8672,371.77
10/26/2021,11:10:54 PM,30.2,85,6736,8608,345.21
10/26/2021,11:10:49 PM,30.2,85,6816,8656,438.18
10/26/2021,11:10:43 PM,30.3,85,6784,8592,491.31
10/26/2021,11:10:38 PM,30.3,85,6752,8608,385.06
10/26/2021,11:10:33 PM,30.3,85,6720,8592,451.46
10/26/2021,11:10:27 PM,30.3,85,6800,8640,411.62
10/26/2021,11:10:22 PM,30.3,85,6832,8672,371.77
10/26/2021,11:10:17 PM,30.3,85,6832,8672,491.31
10/26/2021,11:10:11 PM,30.3,85,6816,8624,451.46
10/26/2021,11:10:06 PM,30.3,85,6800,8576,584.28
10/26/2021,11:10:00 PM,30.3,85,6816,8624,292.09
10/26/2021,11:09:55 PM,30.3,85,6832,8608,411.62
10/26/2021,11:09:49 PM,30.3,85,6864,8608,570.99
10/26/2021,11:09:44 PM,30.3,85,6880,8672,345.21
10/26/2021,11:09:38 PM,30.3,85,6848,8608,531.15
10/26/2021,11:09:33 PM,30.3,85,6816,8544,478.02
10/26/2021,11:09:28 PM,30.3,85,6896,8608,544.43
10/26/2021,11:09:22 PM,30.3,85,6928,8624,305.37
10/26/2021,11:09:16 PM,30.3,85,7024,8800,424.9
10/26/2021,11:09:11 PM,30.3,85,7056,8896,385.06
10/26/2021,11:09:06 PM,30.3,85,7072,8928,464.74
10/26/2021,11:09:00 PM,30.3,85,7072,8864,451.46
10/26/2021,11:08:55 PM,30.3,85,7008,8672,318.65
10/26/2021,11:08:50 PM,30.3,85,6944,8416,331.93
10/26/2021,11:08:44 PM,30.3,85,6992,8448,584.28
10/26/2021,11:08:39 PM,30.3,85,7024,8544,504.59
10/26/2021,11:08:33 PM,30.3,85,7072,8592,504.59
10/26/2021,11:08:26 PM,30.3,85,7024,8544,478.02
10/26/2021,11:08:20 PM,30.3,85,7024,8560,424.9
10/26/2021,11:08:15 PM,30.3,85,7008,8528,438.18
10/26/2021,11:08:10 PM,30.2,85,7008,8528,385.06
10/26/2021,11:08:05 PM,30.3,85,7056,8544,424.9
10/26/2021,11:07:59 PM,30.3,85,7040,8512,531.15
10/26/2021,11:07:54 PM,30.3,85,7136,8592,478.02
10/26/2021,11:07:49 PM,30.3,85,7136,8576,637.4
10/26/2021,11:07:43 PM,30.3,85,7104,8512,756.93
10/26/2021,11:07:38 PM,30.4,85,7152,8560,371.77
10/26/2021,11:07:32 PM,30.3,85,7104,8528,464.74
10/26/2021,11:07:27 PM,30.3,85,7136,8544,305.37
10/26/2021,11:07:21 PM,30.3,85,7136,8560,531.15
10/26/2021,11:07:16 PM,30.3,85,7200,8624,331.93
10/26/2021,11:07:11 PM,30.3,85,7248,8688,318.65
10/26/2021,11:07:05 PM,30.4,85,7248,8672,491.31
10/26/2021,11:07:00 PM,30.3,85,7264,8672,305.37
10/26/2021,11:06:55 PM,30.3,85,7248,8608,451.46
10/26/2021,11:06:50 PM,30.3,85,7264,8576,318.65
10/26/2021,11:06:44 PM,30.3,85,7296,8576,624.12
10/26/2021,11:06:39 PM,30.3,85,7296,8496,531.15
10/26/2021,11:06:34 PM,30.3,85,7376,8560,438.18
10/26/2021,11:06:28 PM,30.3,85,7456,8672,517.87
10/26/2021,11:06:23 PM,30.4,85,7472,8640,491.31
10/26/2021,11:06:18 PM,30.3,85,7456,8608,464.74
10/26/2021,11:06:13 PM,30.3,85,7504,8640,464.74
10/26/2021,11:06:07 PM,30.2,85,7536,8672,438.18
10/26/2021,11:06:02 PM,30.3,85,7536,8656,331.93
10/26/2021,11:05:57 PM,30.4,85,7552,8624,398.34
10/26/2021,11:05:52 PM,30.4,85,7600,8688,305.37
10/26/2021,11:05:46 PM,30.2,85,7616,8656,371.77
10/26/2021,11:05:41 PM,30.3,85,7632,8688,278.81
10/26/2021,11:05:36 PM,30.3,85,7648,8704,703.81
10/26/2021,11:05:31 PM,30.3,85,7680,8736,504.59
10/26/2021,11:05:26 PM,30.4,85,7728,8768,504.59
10/26/2021,11:05:20 PM,30.4,85,7760,8816,305.37
10/26/2021,11:05:15 PM,30.3,85,7744,8720,504.59
10/26/2021,11:05:09 PM,30.4,85,7744,8688,278.81
10/26/2021,11:05:04 PM,30.3,85,7744,8640,424.9
10/26/2021,11:04:59 PM,30.3,85,7776,8656,371.77
10/26/2021,11:04:54 PM,30.3,85,7840,8768,464.74
10/26/2021,11:04:48 PM,30.3,85,7856,8672,557.71
10/26/2021,11:04:43 PM,30.3,86,7872,8688,292.09
10/26/2021,11:04:37 PM,30.3,85,7840,8576,544.43
10/26/2021,11:04:32 PM,30.3,85,7904,8640,438.18
10/26/2021,11:04:27 PM,30.2,85,7968,8720,451.46
10/26/2021,11:04:21 PM,30.3,85,7968,8704,663.96
10/26/2021,11:04:15 PM,30.2,85,7984,8672,292.09
10/26/2021,11:04:09 PM,30.3,85,8000,8656,305.37
10/26/2021,11:04:04 PM,30.2,85,8048,8704,770.21
10/26/2021,11:03:59 PM,30.2,85,8064,8720,544.43
10/26/2021,11:03:53 PM,30.3,85,8144,8800,371.77
10/26/2021,11:03:48 PM,30.3,85,8160,8784,544.43
10/26/2021,11:03:42 PM,30.3,85,8144,8704,637.4
10/26/2021,11:03:37 PM,30.2,85,8128,8624,411.62
10/26/2021,11:03:32 PM,30.3,85,8160,8656,385.06
10/26/2021,11:03:26 PM,30.3,85,8240,8752,464.74
10/26/2021,11:03:20 PM,30.2,85,8272,8848,345.21
10/26/2021,11:03:15 PM,30.2,85,8288,8816,398.34
10/26/2021,11:03:10 PM,30.3,85,8288,8704,663.96
10/26/2021,11:03:04 PM,30.3,85,8336,8736,677.24
10/26/2021,11:02:59 PM,30.3,85,8368,8736,517.87
10/26/2021,11:02:53 PM,30.3,85,8400,8800,358.49
10/26/2021,11:02:48 PM,30.3,85,8416,8752,517.87
10/26/2021,11:02:43 PM,30.2,85,8432,8720,504.59
10/26/2021,11:02:37 PM,30.3,85,8496,8816,265.52
10/26/2021,11:02:31 PM,30.3,85,8528,8864,690.53
10/26/2021,11:02:26 PM,30.2,85,8512,8848,610.84
10/26/2021,11:02:20 PM,30.2,85,8544,8832,637.4
10/26/2021,11:02:14 PM,30.3,85,8592,8816,265.52
10/26/2021,11:02:08 PM,30.2,85,8640,8864,371.77
10/26/2021,11:02:02 PM,30.2,85,8656,8800,624.12
10/26/2021,11:01:57 PM,30.2,85,8656,8768,637.4
10/26/2021,11:01:51 PM,30.2,85,8688,8768,451.46
10/26/2021,11:01:45 PM,30.2,85,8736,8688,398.34
10/26/2021,11:01:40 PM,30.2,85,8832,8768,544.43
10/26/2021,11:01:32 PM,30.2,85,8912,8832,889.74
10/26/2021,11:01:27 PM,30.2,85,8960,8912,265.52
10/26/2021,11:01:21 PM,30.2,85,9008,9104,464.74
10/26/2021,11:01:15 PM,30.2,85,8976,8864,650.68
10/26/2021,11:01:10 PM,30.2,85,8960,8736,624.12
10/26/2021,11:01:04 PM,30.2,85,9024,8768,810.06
10/26/2021,11:00:59 PM,30.2,85,9104,8848,650.68
10/26/2021,11:00:53 PM,30.2,85,9120,8848,278.81
10/26/2021,11:00:48 PM,30.2,85,9184,8928,278.81
10/26/2021,11:00:43 PM,30.2,85,9264,9008,544.43
10/26/2021,11:00:37 PM,30.2,85,9376,9296,531.15
10/26/2021,11:00:32 PM,30.2,85,9408,9152,597.56
10/26/2021,11:00:27 PM,30.2,85,9456,9120,292.09
10/26/2021,11:00:21 PM,30.2,85,9456,8816,278.81
10/26/2021,11:00:16 PM,30.2,85,9408,8368,424.9
10/26/2021,11:00:11 PM,30.2,85,9456,8352,730.37
10/26/2021,11:00:05 PM,30.2,85,9488,8352,584.28
10/26/2021,11:00:00 PM,30.2,85,9520,8336,517.87
10/26/2021,10:59:55 PM,30.2,85,9616,8368,770.21
10/26/2021,10:59:43 PM,30.2,85,9744,8544,544.43
10/26/2021,10:59:38 PM,30.2,85,9760,8496,345.21
10/26/2021,10:59:33 PM,30.2,85,9744,8368,451.46
10/26/2021,10:59:28 PM,30.2,85,9808,8448,544.43
10/26/2021,10:59:23 PM,30.2,85,9888,8528,451.46
10/26/2021,10:59:17 PM,30.2,85,9904,8560,491.31
10/26/2021,10:59:12 PM,30.2,85,9840,8352,823.34
10/26/2021,10:59:06 PM,30.2,85,9888,8384,451.46
10/26/2021,10:59:01 PM,30.2,85,9984,8528,557.71
10/26/2021,10:58:56 PM,30.2,85,9936,8336,597.56
10/26/2021,10:58:50 PM,30.2,85,10048,8448,517.87
10/26/2021,10:58:45 PM,30.2,85,10016,8320,637.4
10/26/2021,10:58:40 PM,30.2,85,10048,8304,385.06
10/26/2021,10:58:34 PM,30.2,85,10096,8288,637.4
10/26/2021,10:58:29 PM,30.2,85,10096,8256,544.43
10/26/2021,10:58:23 PM,30.2,85,10144,8320,903.03
10/26/2021,10:58:18 PM,30.2,85,10224,8432,677.24
10/26/2021,10:58:12 PM,30.2,85,10272,8432,278.81
10/26/2021,10:58:07 PM,30.2,85,10320,8432,345.21
10/26/2021,10:58:01 PM,30.2,85,10272,8336,531.15
10/26/2021,10:57:55 PM,30.2,85,10320,8336,517.87
10/26/2021,10:57:49 PM,30.2,85,10368,8432,345.21
10/26/2021,10:57:44 PM,30.2,85,10416,8672,318.65
10/26/2021,10:57:39 PM,30.2,85,10432,8624,1739.74
10/26/2021,10:57:33 PM,30.2,85,10544,8768,637.4
10/26/2021,10:57:28 PM,30.2,85,10592,8864,557.71
10/26/2021,10:57:22 PM,30.2,85,10592,8656,517.87
10/26/2021,10:57:17 PM,30.2,85,10528,8432,265.52
10/26/2021,10:57:11 PM,30.2,85,10496,8400,544.43
10/26/2021,10:57:06 PM,30.2,86,10512,8432,424.9
10/26/2021,10:57:01 PM,30.2,85,10512,8432,331.93
10/26/2021,10:56:55 PM,30.2,86,10528,8384,531.15
10/26/2021,10:56:50 PM,30.2,86,10528,8176,278.81
10/26/2021,10:56:45 PM,30.2,86,10448,7904,318.65
10/26/2021,10:56:39 PM,30.1,86,10240,7504,292.09
10/26/2021,10:56:34 PM,30.1,86,9520,6944,491.31
10/26/2021,10:56:29 PM,30.3,86,7440,5968,292.09
10/26/2021,5:57:56 AM,33.6,71,4592,6832,318.65
10/26/2021,5:57:51 AM,33.7,71,4656,6928,451.46
10/26/2021,5:57:45 AM,33.8,70,4672,6944,345.21
10/26/2021,5:57:38 AM,34,69,4688,6944,544.43
10/26/2021,5:57:33 AM,34.2,68,4720,6960,451.46
10/26/2021,5:57:21 AM,34.3,68,4752,6976,424.9
10/26/2021,5:57:13 AM,34.3,68,4768,6976,570.99
10/26/2021,5:57:08 AM,34.5,67,4784,6976,464.74
10/26/2021,5:57:03 AM,34.5,67,4784,6976,411.62
10/26/2021,5:56:57 AM,34.6,68,4832,6992,331.93
10/26/2021,5:56:51 AM,34.2,71,4848,6992,318.65
10/26/2021,5:56:40 AM,33.2,75,4912,7008,385.06
10/26/2021,5:56:34 AM,33,75,4976,6992,424.9
10/26/2021,5:56:23 AM,33,75,5040,6976,464.74
10/26/2021,5:56:14 AM,33,77,5088,6896,331.93
10/26/2021,5:55:48 AM,31.5,84,5456,7056,331.93
10/26/2021,5:55:38 AM,31.2,85,6080,6976,531.15
10/26/2021,5:55:28 AM,31,83,6208,6784,597.56
10/26/2021,5:55:18 AM,31,83,5120,6144,810.06
10/26/2021,5:55:13 AM,31.1,84,4304,5360,345.21
10/26/2021,5:42:48 AM,31,83,4576,5552,331.93
10/26/2021,5:42:32 AM,31,83,4560,5536,398.34
10/26/2021,5:42:26 AM,31,83,4560,5616,305.37
10/26/2021,5:42:17 AM,31,83,4576,5600,318.65